Cell Number,Trial Number,Stimulus Diameter,Spike Count,Layer
cell0,14,5.000000000000001,4.0,b'LSG'
cell0,14,10.000000000000002,4.0,b'LSG'
cell0,14,15.0,14.0,b'LSG'
cell0,14,20.000000000000004,8.0,b'LSG'
cell0,14,26.000000000000007,6.0,b'LSG'
cell0,15,0.10000000000000002,2.0,b'LSG'
cell0,15,0.20000000000000004,15.0,b'LSG'
cell0,15,0.4000000000000001,13.0,b'LSG'
cell0,15,0.5,10.0,b'LSG'
cell0,15,0.6000000000000001,11.0,b'LSG'
cell0,15,0.8000000000000002,9.0,b'LSG'
cell0,15,1.0,14.0,b'LSG'
cell0,15,1.2000000000000002,9.0,b'LSG'
cell0,15,1.4999999999999998,9.0,b'LSG'
cell0,15,1.8000000000000003,14.0,b'LSG'
cell0,15,1.9999999999999998,18.0,b'LSG'
cell0,15,2.4000000000000004,5.0,b'LSG'
cell0,15,3.0000000000000004,7.0,b'LSG'
cell0,15,3.5000000000000004,11.0,b'LSG'
cell0,15,5.000000000000001,6.0,b'LSG'
cell0,15,10.000000000000002,5.0,b'LSG'
cell0,15,15.0,12.0,b'LSG'
cell0,15,20.000000000000004,3.0,b'LSG'
cell0,15,26.000000000000007,3.0,b'LSG'
cell0,16,0.10000000000000002,4.0,b'LSG'
cell0,16,0.20000000000000004,26.0,b'LSG'
cell0,16,0.4000000000000001,5.0,b'LSG'
cell0,16,0.5,11.0,b'LSG'
cell0,16,0.6000000000000001,13.0,b'LSG'
cell0,16,0.8000000000000002,17.0,b'LSG'
cell0,16,1.0,9.0,b'LSG'
cell0,16,1.2000000000000002,7.0,b'LSG'
cell0,16,1.4999999999999998,13.0,b'LSG'
cell0,16,1.8000000000000003,6.0,b'LSG'
cell0,16,1.9999999999999998,7.0,b'LSG'
cell0,16,2.4000000000000004,21.0,b'LSG'
cell0,16,3.0000000000000004,15.0,b'LSG'
cell0,16,3.5000000000000004,9.0,b'LSG'
cell0,16,5.000000000000001,13.0,b'LSG'
cell0,16,10.000000000000002,12.0,b'LSG'
cell0,16,15.0,12.0,b'LSG'
cell0,16,20.000000000000004,6.0,b'LSG'
cell0,16,26.000000000000007,9.0,b'LSG'
cell0,17,0.10000000000000002,8.0,b'LSG'
